Date & Time,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
21:09:33 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:09:39 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:09:45 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:09:51 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:09:57 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:03 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:09 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:15 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:20 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:26 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:32 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:38 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:43 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:49 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:10:55 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:01 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:06 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:12 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:18 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:23 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:29 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:35 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:40 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:46 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:52 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:11:58 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:12:04 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:12:09 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:12:15 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:12:21 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:12:27 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:12:32 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
21:12:38 2021-10-12,"3,505.65",-92.69,-2.58%,413.307B,19.099B,19.099B,19.099B,117.897M
